時間超過,回答数,割合(%)
たまにある,660,51.6
あまりない,271,21.2
ほとんどない,179,14.0
よくある,138,10.8
なし。追加で何本かやれる。ウタカゼならね！,1,0.1
私がKPの時はあまりない。私がPL（他KP）の時は発生することはある。,1,0.1
特定の相手とのみ、お互いの予定を確認しあった上で予定時間を超えることがある,1,0.1
グダらせるPLが参加していなければ、予定通りに終わらせています。,1,0.1
自分がGM.KPの際、初参加のプレイヤーがいる時は無い,1,0.1
GMの時はほぼない。PLの時はほぼ確実に伸びる,1,0.1
自分がGMの時は殆どないが、PLのときは割とある,1,0.1
ほとんどないが、過ぎたとしても5~10分程度,1,0.1
ゲームマスター時にはあまりない。プレイヤー時はたまにある。,1,0.1
大型キャンペーンシナリオの場合は超過することもある（全体で40時間程度）,1,0.1
超えていけないときは超えないようにする、超えていいときはグダグダやる,1,0.1
基本的には想定時間より伸びても良いようにはじめから多めに時間を取るため超えることは多くない。それでも足りない場合、かつ巻いて進めるよりも時間を用いて大切にセッションを進めたいと同卓者全員が判断した場合は追加で時間や日を設ける事がある。,1,0.1
まず滅多にはありませんが、予備日を事前に設けると共に万一の場合は圧縮や短縮を行います,1,0.1
GMによる。時間になったら終わらせる人とキリのいいとこまでやる人がいた,1,0.1
PLの場合しばしばあり、GMの場合ほぼほぼなし,1,0.1
シナリオ想定時間に対してならよくある、確保時間に対してならほとんどない,1,0.1
自分がKPのときはほとんどない,1,0.1
PL参加の時はまちまち、自身がKPする時はほぼなし,1,0.1
自身がPL時はままあるが、自身がKP時はほとんどない,1,0.1
分単位で合わせられる,1,0.1
のびるけど、予備日多めに取ってるので基本吸収している。,1,0.1
｢終了時間に終わらないGM｣の異名を持つが利用時間内には終わる。閉会時間が決まっているイベントではほぼ確実に時間通りに終われる。,1,0.1
GM時はほとんどない（PL時はGM任せなので帰る事が多い）,1,0.1
ない,1,0.1
相談の上で延長することがある,1,0.1
KPの場合:ほとんどない/PCの場合:よくある,1,0.1
自宅で身内卓等時間を気にしないで良い場合に限り、ほぼ確実に超える,1,0.1
自分がゲームマスターの時はほとんどない、自分がプレイヤーの時はたまにある,1,0.1
GM時は、予定日に余裕を持たせて早めに区切るようにしているため「あまりない」。PL時は「よくある」。,1,0.1
PLの時はまれにあるが自分がGMをするときはない,1,0.1
ほぼ毎回,1,0.1
オフセだと無いのですがオンセだとよく時間超えちゃいます,1,0.1
